quote,topic_main,topic_additional,interview_location,migration_type,age_group,birth_location,gender
"I was wearing heels, I had makeup on, and I was like, what am I doing here with a cute little backpack on my back. And then I walked into the factory and boom, everyone’s like, “grab some rubber boots,” because this supervisor came in yelling, and I ended up working the whole 8 hours with two left boots on, because there wasn’t a proper pair. I came home and, well, my husband could tell you how I was mentally draining him, because I’m the stronger personality, and I was saying every single day, like, screw this, I don’t want to be here, I’m not staying, I’m not working in these conditions, I have a degree, I’ve done stuff, until the first payslip came. The first paycheck showed up, I looked at it and said, hey, that’s almost my monthly salary, and just like that, everything felt fine.",Economic,"Income, Work/employment",Poland,return,40-49,Poland,Female
"Funny thing, I remember some coworkers once pulled me aside and told me not to work so fast, because they couldn’t keep up with their own tasks because of it. And I was just used to how we worked in Poland, you know, just normal pace. But over there, everything goes slower, there’s time for everything, so for me it was actually easier.","Social, Economic",Work/employment,Poland,permanent,30-39,Poland,Male
"The Dutch hold higher positions, we just pass by them, see them in the warehouse, but they don’t do the same work as we do. [...] Very friendly, really friendly. The Dutch are friendly, very friendly. [...] Honestly, I don’t really know any Dutch person, like not even to say hi or good morning, just the ones I pass at work. [...] I don’t know any Dutch people, I don’t hang out with Dutch people, I don’t talk to Dutch people.","Social, Economic","Integration, Belonging",Poland,permanent,18-29,Poland,Male
"Still, when living abroad, you have to be aware that, in quotation marks, you’re not at home, and in order to feel comfortable, you have to assimilate. You just need to have that ability in you to, let’s say, adapt to the given country, right? And we adapted, because we didn’t, I don’t know, we didn’t manifest our origin, or our religion, or anything like that. A lot of other nationalities do that there. We didn’t. We simply lived the way the Dutch live, we adjusted to that lifestyle—well, definitely except for the religious aspect, because that’s a bit different there. But at some point, we started to miss Poland, right? It’s something that’s hard to put into words.",Social,"Integration, Belonging",Poland,return,40-49,Poland,Male
"Moderator: Do you feel like you are part of some kind of community, like in your municipality? Participant: There’s no such thing there. There, everyone just looks out for themselves, right? There’s nothing like what we have. We just stick to work-home, work-home. Participant (wife): I’ll interrupt here, it was different when there were just the two of us. When life was happening there, it was different. We were the only Poles on the street, so the Dutch welcomed us very positively, they taught me the language, took care of our daughter, and we participated in that Dutch life. But now, like my husband said, it’s just work-home, there’s no going out or anything.",Social,"Integration, Language barriers, Work/employment, Belonging",Poland,permanent,40-49,Poland,Male
"Well, I mean, the house, we owe a lot to the fact that my husband can do everything himself. He just took care of it. It wasn’t all high standard. We furnished it quite modestly. We also bought a lot of things second-hand, but that works better in Germany than it does here. And he did everything himself, he’s an electrician, right, so he could paint the walls, lay the flooring, all that. If he didn’t know how to do that, there’s no way we could have managed.","Economic, Living environment",Housing,Poland,return,40-49,Poland,Female
"I couldn’t find my place abroad. Umm, the worst thing for me was the language barrier, because at first I was home with the children, and of course animals don’t speak German, so it was hard for me to get into the language.",Social,"Language barriers, Belonging",Poland,return,30-39,Poland,Female
"Just like, for example, asking the coordinator if he could go somewhere with me or help sort something out. And with some of the more private matters, they would not help, because they do not have to, right. They are there for things like Sofi numbers, doctors, and work, work-related issues. And the fact that I could not be, so to speak, 100 percent independent, that also somehow… No, just the very thought already, that language barrier. Of course, I could have also learned the language, but somehow I was not too motivated. At work, I was able to communicate well enough that it did not bother me. I understood the instructions and my supervisor and so on, and I could also talk freely with the Indians or whoever I was working with, so…",Social,"Integration, Language barriers, Work/employment",Poland,seasonal,18-29,Poland,Male
"I took a lot of courses, but I just can’t learn that way. Courses don’t work for me. The best method for me is simply through conversation. I later worked in a hotel. My boss was Icelandic, and only the Icelandic language was used there. English wasn’t even an option, she didn’t speak English at all, even though most Icelanders do. But I happened to work for someone who didn’t, so I had to learn through conversation. At that time, I worked with two Polish women, twin sisters, who spoke Icelandic, even though they were Polish. I kept asking them questions, what’s this, what’s that. Whenever I picked up a word by ear, and after a while, I already knew the basics of Icelandic.",Social,"Integration, Language barriers, Work/employment",Poland,permanent,40-49,Poland,Female
"Moderator: And there is no alternative to taking the car? Participant: You know, actually, you can take a plane, and that is quite convenient. But then there are limitations on luggage, and that definitely becomes a bit of a problem. In my town, for example, there is no airport. The nearest one is in [city] or in Rotterdam. I am not sure if there are flights from Poland, but supposedly there is an airport in Rotterdam. Still, from any of those cities, you would then have to somehow get home in the Netherlands, right? Moderator: That is another issue, OK. And the luggage, do you carry a lot of things? Participant: Yes, we bring a lot of stuff. That is because, well, parents or grandparents always give us some jars, sausages, a lot of honey for example, medicines from Poland. We end up taking a lot of things.",Living environment,Transportation,Poland,permanent,18-29,Poland,Male
"Moderator: Will you spend your retirement here? Participant: I think so. I think that in the long term, really, yes. I believe I will spend my retirement here in Poland, even in this region. I can narrow it down that much. Right here in this region. Moderator: So not even in [nearby large city]? Participant: Not even in [nearby in Poland], no. Moderator: And why is that? Participant: Because my girlfriend has a plot of land just outside [hometown], on the outskirts. And if we managed to build a house there, that would be ideal. On that plot near [hometown], it would be perfect, our whole family close by, beautiful green areas, space. Moderator: And the plot, did you buy it or...? Participant: She inherited it.",Living environment,"Housing, Nature, Motivations to migrate, Future migration plans",Poland,permanent,18-29,Poland,Male
"Moderator: You mentioned that the doctors have a slightly different approach. Could you explain roughly what you meant? Participant: Yes, for example, based on my experience with my daughter, doctors there do not notice the problems the child is having. A parent, for instance, can see that something is wrong, that something is going on, but they do not offer suggestions or push things forward. You have to fight for everything yourself, and then the child just continues to grow, and either something gets done or it does not. For example, even things like spinal curvature and so on are seen completely differently in Poland. Polish physiotherapists, for instance, are excellent at identifying all kinds of issues. Over there, nothing has been done so far. And there is also the language barrier, especially when it comes to medical matters. Here, I can communicate more quickly and get things done more easily, you could say, in all these matters. Over there, I am not really able to express myself fully when it comes to medical issues, and I do not fully understand everything either. So that might also be part of the reason why I made this decision.",Social,"Language barriers, Health",Poland,return,30-39,Poland,Female
"Later, our daughter was born. [...] And she stayed there with us for almost a year. With our daughter, well, let me tell you, at some point we had to make a decision. When it was time for her to start preschool, we had to decide — either Poland or staying there permanently, right? We did not want to cause too much confusion in her mind. And in the end, we realised that it was not really a country that felt friendly to us. So my wife came back, and within a year and a half the house was built, and our daughter started preschool here.","Social, Living environment","Education, Motivations to migrate, Belonging",Poland,permanent,40-49,Poland,Male
"My husband resigned from his job, or rather, not exactly resigned, but arranged to take an unpaid leave. And we made the decision to return. Our son had just finished school, it was a Realschule. He was facing the choice of a new school in Germany, meaning either vocational training or first completing the equivalent of high school. But he was actually the driving force behind our decision, because he really liked it here in Poland. He always has.",Social,"Education, Motivations to migrate",Poland,return,50-59,Poland,Female
"So it was like this. We were starting to have enough of that flat, of living there. Because, you know, living under one roof with people from different cultures is difficult. Everyone smoked and so on, so there were a lot of unpleasant smells too. But that was not really the issue. It was more the noise and everything else. And the work was hard too.","Social, Living environment","Housing, Integration, Motivations to migrate",Poland,return,18-29,Poland,Male
"It was always like that — spending money, buying things. Holidays, or shopping for Christmas, or even just everyday things. Even when we were going back there, we would do our shopping here because it was cheaper. Everything, even household items like a bigger mattress or something, we would take it all with us. Usually food — mostly Polish food.",Economic,Income,Poland,permanent,30-39,Poland,Female
"We invest all our resources in Poland. I think that is a significant benefit for this region, or for Poland in general. [...] Everyone is investing in some kind of property, or something similar. And of course, when you are building a house, you have to make all sorts of purchases. We do not buy those things in Germany. We buy them in Poland. So the local market benefits from that.",Economic,"Housing, Income",Poland,return,50-59,Poland,Female
"Now, it has become beautiful. They renovated it, it is truly a very nice town. It used to feel more grey and gloomy to me, back when we used to live there, but now the park, all of it, the roads are renovated—it really is a very nice place. A great deal has changed.",Living environment,Transportation,Poland,permanent,40-49,Poland,Female
"What I do not like, and what we perhaps did not fully realise before returning, is that people here still burn coal, and the air quality is very, very poor, at least in this neighbourhood. There is still not much attention paid to it, even though it really has a significant impact on well-being and health. I do not understand why more is not being done in this area.",Living environment,Pollution,Poland,return,50-59,Poland,Female
"There was a lot of unemployment in [city] back then. It was really hard to find a job. Some of our friends had already started going abroad. They helped open up the path for him and suggested he should join them. And for the same reason... I had finished my studies, and I had worked in a shop throughout university, earning minimum wage. There weren’t really any opportunities here in [city] — no internships, no real prospects in my field. So we decided to leave.",Economic,"Work/employment, Motivations to migrate",Poland,return,40-49,Poland,Female
"I know from my husband, because it took him a while to learn German, so first he had to go through his own school, the school of life, and he earned peanuts because he didn't know the language. But I was already someone who communicated very well and was at a higher level, so I didn't feel anywhere in the conversation that you were a fool or, god, who am I talking to, no. [...] I think that language is 80% of success here, in my opinion. If you have life experience, you know what you want to do and you know how to talk to them. So communication is the basis. It doesn't matter where you are, because there were people in the factory who didn't know German at all. How do you want to establish relationships? It's not an option. Someone jokes, someone laughs at you, someone talks about you behind your back, and you don't understand it. You can't defend yourself. I've been in situations like that many times, but if you know German, you can respond, react, say something, defend yourself.",Social,"Language barriers, Work/employment",Poland,return,18-29,Poland,Female
"There were weekends, there were Sundays, and every other Saturday you were expected to work. There was this attitude that if someone didn't take those Saturdays, it meant they were slacking off and might be unnecessary, and that they could be fired and replaced with someone else. There were simply stories circulating among the Poles there; they liked to get themselves worked up so they'd have something to talk about.","Social, Economic",Work/employment,Poland,seasonal,18-29,Poland,Male
"At first, we worked for minimum wage, but my husband made up for it by working a lot of overtime. You could say he had two jobs. The company was growing at the time, the bosses had just opened the company he joined, and I joined too, and they worked very hard. They worked seven days a week, from morning to evening, so my husband would come home at 7:00/7:30 p.m., ate dinner, I made him sandwiches for the morning, packed lunch, which was already made, into containers, and he left for work again in the morning, so that first year, it was really, no, even more than that, because those were the first 2 or 3 years on his part, it was really a lot, a lot, a lot of work, a lot of hours.",Economic,Work/employment,Poland,return,40-49,Poland,Female
"It's funny, I remember my colleagues at work once took me aside and told me not to work so fast, because it meant they couldn't keep up with their own work. I was used to working normally in Poland. But there, there's time for everything, so I think it was easier for me than it would be for a German to move to a Polish company.",Economic,Work/employment,Poland,permanent,30-39,Poland,Female
