quote,topic_main,topic_additional,interview_location,migration_type,age_group,birth_location,gender,additional_info
"This is a quote on the topic 'Living environment' with tags [Pollution, Nature] from a female permanent migrant age group 18-25, from Poland. Interview done in Germany.",Living environment,"Pollution, Nature",Germany,permanent,18-25,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution, Nature] from a female permanent migrant age group 18-25, from Poland. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Language] from a male permanent migrant age group 18-25, from Austria. Interview done in Germany.",Social,Language,Germany,permanent,18-25,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Language] from a male permanent migrant age group 18-25, from Austria. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Language, Education] from a female seasonal migrant age group 55-70, from Turkey. Interview done in Germany.",Social,"Language, Education",Germany,seasonal,55-70,Turkey,female,"This is an additional context info to the quote on topic 'Social' with tags [Language, Education] from a female seasonal migrant age group 55-70, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Education] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany.",Social,Education,Germany,seasonal,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Discrimination] from a male permanent migrant age group 30-55, from Austria. Interview done in Austria.",Social,Discrimination,Austria,permanent,30-55,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination] from a male permanent migrant age group 30-55, from Austria. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Poland. Interview done in Italy.",Social,Education,Italy,permanent,55-70,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Poland. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Nature] from a female seasonal migrant age group 18-25, from Austria. Interview done in Italy.",Living environment,Nature,Italy,seasonal,18-25,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature] from a female seasonal migrant age group 18-25, from Austria. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Deskilling, Work] from a female permanent migrant age group 18-25, from Turkey. Interview done in Italy.",Economic,"Deskilling, Work",Italy,permanent,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Work] from a female permanent migrant age group 18-25, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Language, Integration] from a male permanent migrant age group 18-25, from Poland. Interview done in Italy.",Social,"Language, Integration",Italy,permanent,18-25,Poland,male,"This is an additional context info to the quote on topic 'Social' with tags [Language, Integration] from a male permanent migrant age group 18-25, from Poland. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Income, Work] from a female permanent migrant age group 55-70, from Turkey. Interview done in Italy.",Economic,"Income, Work",Italy,permanent,55-70,Turkey,female,"This is an additional context info to the quote on topic 'Economic' with tags [Income, Work] from a female permanent migrant age group 55-70, from Turkey. Interview done in Italy."
